Date,"Total mensal","Máximo diário"
1/4/1983,32.50,16.60
1/5/1983,9.60,2.40
1/6/1983,2.80,1.60
1/7/1983,0.20,0.10
1/8/1983,0.40,0.30
1/9/1983,0.40,0.40
1/10/1983,76.90,55.60
1/11/1983,285.60,45.30
1/12/1983,92.70,25.20
1/1/1984,12.90,8.30
1/2/1984,23.10,8.80
1/3/1984,37.20,6.30
1/4/1984,33.10,15.20
1/5/1984,15.50,3.30
1/6/1984,0.60,0.10
1/7/1984,0.00,0.00
1/8/1984,0.10,0.10
1/9/1984,0.10,0.10
1/10/1984,17.40,14.10
1/11/1984,116.80,20.80
1/12/1984,51.60,16.80
1/1/1985,127.60,20.40
1/2/1985,142.60,34.00
1/3/1985,1.40,0.40
1/4/1985,26.80,16.30
1/5/1985,9.10,3.30
1/6/1985,6.10,3.70
1/7/1985,0.10,0.10
1/8/1985,0.00,0.00
1/9/1985,0.70,0.40
1/10/1985,0.00,0.00
1/11/1985,38.80,17.30
1/12/1985,55.00,26.60
1/1/1986,29.90,12.10
1/2/1986,91.90,30.70
1/3/1986,64.50,30.10
1/4/1986,59.30,22.20
1/5/1986,6.30,4.30
1/6/1986,2.30,2.00
1/7/1986,0.00,0.00
1/8/1986,0.10,0.10
1/9/1986,39.00,22.50
1/10/1986,26.30,10.60
1/11/1986,32.00,15.60
1/12/1986,19.40,11.10
1/1/1987,113.20,30.00
1/2/1987,99.70,26.10
1/3/1987,9.20,6.70
1/4/1987,50.80,15.10
1/5/1987,0.40,0.20
1/6/1987,2.90,2.70
1/7/1987,10.60,7.80
1/8/1987,20.10,16.50
1/9/1987,26.10,22.60
1/10/1987,133.50,24.90
1/11/1987,142.60,82.20
1/12/1987,262.60,64.60
1/1/1988,92.90,31.60
1/2/1988,36.50,20.30
1/3/1988,25.50,21.60
1/4/1988,2.40,1.20
1/5/1988,69.60,43.70
1/6/1988,17.90,5.00
1/7/1988,15.60,15.60
1/8/1988,0.00,0.00
1/9/1988,0.00,0.00
1/10/1988,62.80,26.70
1/11/1988,376.10,82.80
1/12/1988,7.70,5.50
1/1/1989,61.50,28.00
1/2/1989,52.00,12.00
1/3/1989,22.70,12.00
1/4/1989,55.40,23.40
1/5/1989,35.70,16.00
1/6/1989,0.00,0.00
1/7/1989,0.10,0.10
1/8/1989,2.40,2.00
1/9/1989,23.90,23.70
1/10/1989,341.10,157.90
1/11/1989,228.80,33.50
1/12/1989,353.40,86.80
1/1/1990,63.70,22.80
1/2/1990,0.90,0.80
1/3/1990,41.20,16.20
1/4/1990,102.50,32.20
1/5/1990,0.70,0.70
1/6/1990,0.70,0.40
1/7/1990,0.20,0.10
1/8/1990,0.00,0.00
1/9/1990,3.50,1.60
1/10/1990,65.80,22.40
1/11/1990,40.50,14.80
1/12/1990,151.00,32.80
1/1/1991,11.90,6.50
1/2/1991,111.30,35.70
1/3/1991,67.70,22.00
1/4/1991,47.00,16.20
1/5/1991,0.40,0.40
1/6/1991,0.10,0.10
1/7/1991,1.30,1.20
1/8/1991,0.30,0.10
1/9/1991,20.80,11.00
1/10/1991,44.20,12.10
1/11/1991,7.90,3.40
1/12/1991,96.40,30.30
1/1/1992,36.00,16.90
1/2/1992,24.40,10.00
